text,label,category,style,source,platform,persona
"Web3 này quá đỉnh luôn nha anh em, tham gia ngay để nhận quà link nhé!",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Nhà đầu tư thông thái không thể bỏ qua cơ hội này ở Web3!,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Đã có ai được nhận quà từ Web3 chưa? Chia sẻ với tớ đi.,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Thành công trong thị trường Web3 đòi hỏi sự kiên nhẫn và phân tích kỹ lưỡng.,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Ai đang tìm kiếm lợi nhuận ổn định từ tài chính kỹ thuật số thì không thể bỏ qua Web3.,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Nhận ngay phần thưởng Web3 chỉ cần đăng ký link!,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
"Hãy nắm bắt cơ hội này trong lĩnh vực Web3, anh em ơi!",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
Bạn đã khám phá thế giới Web3 chưa? Có gì mới nhỉ!,spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Chuyên gia tài chính dỏm (thích nói đạo lý, phân tích biểu đồ nửa mùa, gọi 'nhà đầu tư')"
ChatGPT siêu mạnh tay vào vòng quay may mắn nhà cái nhé!,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
Vòng quay may mắn đang hack được bằng thuật toán của ChatGPT đấy.,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
Hacker Tiktok tiết lộ cách hack vòng quay may mắn với AI ChatGPT.,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
ChatGPT đã tìm ra lỗ hổng để ăn tiền trong game vòng quay may mắn rồi.,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
Thấy ai chat cùng mình không? Mình vừa học cách hack vòng quay may mắn từ ChatGPT đây!,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
