text,label,category,style,source,platform,persona
"Chị ơi, cuối tuần này đi làm hồ sơ học bổng cho con với chị nhé, chưa biết bắt đầu từ đâu. Rối lắm.",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Thấy mấy mẹ bạn mình đi làm giấy tờ xe cũng khó quá, có ai mách trick nào không? Em thèm cuối tuần rảnh quá!",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Cuối tuần tới em định đi làm thủ tục bảo hiểm y tế, nhưng mà sợ mất công, chị có kinh nghiệm gì chia sẻ với em được không?",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Mình đang muốn làm giấy khai sinh cho con ở quê, ai có kinh nghiệm giúp mình với, cuối tuần này mình sẽ rảnh.",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Em cũng muốn đi làm giấy phép lái xe, nhưng chưa biết phải chuẩn bị những gì. Chị có thể hướng dẫn mình cách làm thủ tục không ạ?",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Cuối tuần tới em định đi làm giấy chứng nhận đủ điều kiện nuôi con bú, nhưng sợ mất công nên nhờ mẹ bỉm sữa chia sẻ với.",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Sắp đến giờ đi làm giấy khai sinh cho con ở tỉnh nhà, chưa biết bắt đầu từ đâu. Chị có thể chỉ bảo cách làm thủ tục k ạ?",ham,q_and_a,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Mẹ bỉm sữa bình thường (hỏi kinh nghiệm nuôi con, nấu ăn, mua sắm)"
"Chất vải phim mới ra rạp thật là tệ, toàn thoại teencode hết bài, chán quá!",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
"Thích cái ending chất vải ấy, thê lương vô cùng. 😍",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
"Cảnh tình cảm chất vải làm mình thấy thương, hay thật! 😂",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
"Sự kiện trao giải thưởng cho phim chất vải kia chả có gì đặc sắc cả, nhàm chán hết nỗi. 😅",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
"Đi xem phim chất vải hôm trước, nhân vật quá ảo, diễn như đang đọc teencode.",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
"Chất vải làm trend này cũng thật là lạ, ai bảo hot thế? 🥲",ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
Thấy bạn bè khen chất vải lắm nhưng mình vẫn chưa dám vào rạp xem. 👍,ham,casual_chat,generated,ollama,"SMS (Nhắn tin cá nhân, báo bận, hẹn hò)","Người dùng mạng xã hội gen Z (dùng nhiều teencode, đùa cợt, bắt trend hài hước)"
